lang_code,lang,tokens,pages,mt5_percent
en,English,2733.0,3067.0,5.67
mk,Macedonian,1.8,2.1,0.62
ru,Russian,713.0,756.0,3.71
ml,Malayalam,1.8,2.1,0.62
es,Spanish,433.0,416.0,3.09
mn,Mongolian,2.7,2.1,0.62
de,German,347.0,397.0,3.05
ur,Urdu,2.4,1.9,0.61
fr,French,318.0,333.0,2.89
be,Belarusian,2.0,1.7,0.59
it,Italian,162.0,186.0,2.43
la,Latin,1.3,1.7,0.58
pt,Portuguese,146.0,169.0,2.36
eu,Basque,1.4,1.6,0.57
pl,Polish,130.0,126.0,2.15
tg,Tajik,1.4,1.3,0.54
nl,Dutch,73.0,96.0,1.98
te,Telugu,1.3,1.2,0.52
tr,Turkish,71.0,88.0,1.93
fy,West Frisian,0.4,1.1,0.51
ja,Japanese,164.0,87.0,1.92
kn,Kannada,1.1,1.1,0.51
vi,Vietnamese,116.0,79.0,1.87
ky,Kyrgyz,1.0,1.0,0.5
id,Indonesian,69.0,70.0,1.8
sw,Swahili,1.0,1.0,0.5
cs,Czech,63.0,60.0,1.72
so,Somali,1.4,0.9,0.48
zh,Chinese,39.0,55.0,1.67
my,Burmese,0.9,0.8,0.47
fa,Persian,52.0,54.0,1.67
uz,Uzbek,0.9,0.8,0.46
ar,Arabic,57.0,53.0,1.66
km,Khmer,0.6,0.8,0.46
sv,Swedish,45.0,49.0,1.61
-,Russian (Latin),0.9,0.7,0.46
ro,Romanian,52.0,46.0,1.58
sd,Sindhi,1.6,0.7,0.45
el,Greek,43.0,42.0,1.54
gu,Gujarati,0.8,0.6,0.43
uk,Ukrainian,41.0,39.0,1.51
-,Hindi (Latin),0.6,0.6,0.43
hu,Hungarian,39.0,37.0,1.48
jv,Javanese,0.3,0.6,0.42
da,Danish,29.0,29.0,1.38
zu,Zulu,0.2,0.6,0.42
fi,Finnish,25.0,27.0,1.35
si,Sinhala,0.8,0.5,0.41
no,Norwegian,27.0,25.0,1.33
-,Japanese (Latin),0.3,0.5,0.41
bg,Bulgarian,22.0,23.0,1.29
eo,Esperanto,0.7,0.5,0.4
hi,Hindi,24.0,19.0,1.21
co,Corsican,0.2,0.5,0.4
sk,Slovak,18.0,18.0,1.19
ga,Irish,0.5,0.5,0.4
ko,Korean,26.0,16.0,1.14
-,Greek (Latin),0.4,0.4,0.39
th,Thai,11.0,15.0,1.14
-,Chinese (Latin),0.2,0.4,0.37
ca,Catalan,13.0,14.0,1.12
pa,Punjabi,0.6,0.4,0.37
ms,Malay,13.0,13.0,1.09
ceb,Cebuano,0.2,0.4,0.36
he,Hebrew,17.0,12.0,1.06
mg,Malagasy,0.2,0.3,0.36
lt,Lithuanian,11.0,11.0,1.04
ps,Pashto,0.4,0.3,0.36
sl,Slovenian,8.8,8.5,0.95
sn,Shona,0.2,0.3,0.35
mr,Marathi,14.0,7.8,0.93
gd,Scottish Gaelic,0.4,0.3,0.35
bn,Bengali,7.3,7.4,0.91
ku,Kurdish,0.4,0.3,0.34
et,Estonian,6.9,6.9,0.89
hmn,Hmong,0.2,0.3,0.34
lv,Latvian,7.0,6.4,0.87
su,Sundanese,0.1,0.3,0.34
az,Azerbaijani,4.4,5.3,0.82
ht,Haitian Creole,0.2,0.3,0.33
gl,Galician,2.4,4.6,0.79
ha,Hausa,0.2,0.2,0.33
cy,Welsh,4.9,4.1,0.76
ny,Chichewa,0.1,0.2,0.29
sq,Albanian,4.0,4.1,0.76
am,Amharic,0.3,0.2,0.29
ta,Tamil,3.4,3.5,0.73
-,Bulgarian (Latin),0.09,0.2,0.29
sr,Serbian,4.3,3.4,0.72
yi,Yiddish,0.3,0.1,0.28
ne,Nepali,3.2,2.9,0.69
lo,Lao,0.1,0.1,0.28
lb,Luxembourgish,1.0,2.7,0.68
mi,Maori,0.1,0.1,0.25
hy,Armenian,2.4,2.4,0.65
sm,Samoan,0.09,0.1,0.25
kk,Kazakh,3.1,2.4,0.65
ig,Igbo,0.09,0.09,0.24
ka,Georgian,2.5,2.3,0.64
haw,Hawaiian,0.09,0.08,0.24
mt,Maltese,5.2,2.3,0.64
xh,Xhosa,0.06,0.07,0.22
af,Afrikaans,1.7,2.2,0.63
st,Sotho,0.08,0.07,0.22
fil,Filipino,2.1,2.1,0.62
yo,Yoruba,0.05,0.05,0.2
is,Icelandic,2.6,2.1,0.62
